ItemCode,ItemName,U_Codigo_Secundario,FrgnName,Estado,ItemType,ItemType_Significado,ItmsGrpCod,ItmsGrpCod_Nombre,UgpEntry,InvntItem,InvntItem_Significado,SellItem,SellItem_Significado,PrchseItem,PrchseItem_Significado,PriceUnit,WTLiable,WTLiable_Significado,IndirctTax,IndirctTax_Significado,ItemClass,MngMethod,MngMethod_Significado,TaxCodeAR,GLMethod,GLMethod_Significado,EvalSystem,EvalSystem_Significado,IWeight1,InvntryUom,InvntryUom_Nombre,DfltWH,DfltWH_NombreAlmacén,PlaningSys,PlaningSys_Significado,PricingPrc,LeadTime,ToleranDay,QryGroup1,QryGroup1_Significado,QryGroup2,QryGroup2_Significado,U_beas_gruppe,U_beas_prccode,U_beas_prodrelease,U_beas_prodrelease_Significado,U_beas_batchroh,U_beas_batchroh_Significado,PicturName,U_beas_dispo,U_EMPA_ESPESOR,U_EMPA_DESIDAD,U_EMPA_ANCHO,U_PLG_CICLE,U_EMPA_CARACTERISTICA_TIPO,U_EMPA_CARACTERISTICA_MP,ItemCode_Obsolete,ItemName_Valid,Needs_I_D_Review,LotNumber,ManageBy,PicturName_Valid,Needs_Design_Graphics_Review
PTAUTO0002,BASE EMBLEMA PP NEGRO GM 52102909,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,PRODUCTO TERMINADO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,INY-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,30.0,GENERICO,PP,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTBALD0001,BALDE MIX 3 KG AMARILLO,D0240020001,BALDE 3CHAN/SERRANA 3X8,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,Y,Sí,N,No,GENERIC,INY-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,25.0,GENERICO,MIX,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTBALD0003,BALDE MIX 3 KG ROJO,,BALDE 3CHAN/SERRANA 3X8,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,INY-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,25.0,GENERICO,MIX,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTBALD0004,BALDE MIX 3 KG BLANCO,D0260080001,BALDE 4 KG. BLANCO,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,Y,Sí,N,No,GENERIC,INY-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,25.0,GENERICO,MIX,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTBALD0005,BALDE MIX 3 KG TOMATE,,BALDE 3CHAN/SERRANA 3X8,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,INY-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,25.0,GENERICO,MIX,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTBALD0006,BALDE MIX 3 KG NATURAL,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,INY-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,25.0,GENERICO,MIX,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTBALD0007,BALDE MIX 3 KG BLANCO DEX,D9410066001,BALDE 4 KG. BLANCO DEX,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,Y,Sí,N,No,GENERIC,INY-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,0.0,,0.0,25.0,GENERICO,MIX,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTEPAD0001,ENVASE PEAD 370 CC SQUEEZE MAYONESA EL SABOR,,ENVASE PEAD 370 CC SQUEEZE MAYONESA EL SABOR (ENG),Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,SOP-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,18.0,GENERICO,PEAD,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTEPAD0002,ENVASE PEAD 370 CC SQUEEZE MOSTAZA EL SABOR,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,SOP-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,18.0,GENERICO,PEAD,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTEPAD0003,ENVASE PEAD 370 CC SQUEEZE SALSA DE TOMATE EL SABOR,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,SOP-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,18.0,GENERICO,PEAD,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTEPAD0005,ENVASE PEAD NATURAL 1 LT LA POLACA,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,SOP-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,20.2,GENERICO,PEAD,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTEPAD0007,ENVASE PEAD 1 LT NATURAL CUADRADO,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,SOP-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,20.2,GENERICO,PEAD,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTEPAD0008,ENVASE PEAD 2 LT  NATURAL  REDONDO,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,PRODUCTO TERMINADO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,SOP-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,30.0,GENERICO,PEAD,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
PTEPAD0010,ENVASE PEAD 3.785 LT NATURAL,,,Activo,I,Artículos,102,PRODUCTO TERMINADO,1,Y,Articulo de inventario,Y,Articulo de venta,EFECTUAR,No,8,Y,Sujeto a retencion de impuesto,Y,Impuesto indirecto,2,A,En todas las transacciones,IVAV15,C,Por Grupo de Artículos,A,Promedio Ponderado,500.0,UN,UN,UIO_PROD,BODEGA PRODUCCION UIO,M,PNM,0,20,0.0,N,No,N,No,GENERIC,SOP-CONV,Y,Sí - Liberación de Producción Permitida,DETERMINACION DE LOTE,No,,A,,,,24.5,GENERICO,PEAD,False,True,False,Lotes,EN TODAS LAS TRANSACCIONES,False,True
