atributo,valor,conteo
ItemName,ENVASE PET 3 LT CRISTAL PETALOIDE  1816,1
ItemName,ENVASE PET 4 LT CRISTAL PETALOIDE 1816,1
ItemName,ENVASE PET 5 LT AMARILLO DANEC 48,1
ItemName,ENVASE PET 5 LT CRISTAL 48,1
ItemName,ENVASE PET 20 LT AZUL SIN ASA SIN LOGO 58,1
ItemName,ENVASE PET 1.5 LTCRISTAL BALDORE 1816,1
ItemName,ENVASE PET 450 GR CRISTAL MIEL TERRAFERTIL 1816,1
ItemName,ENVASE PET 5 LT CRISTAL DANEC 48,1
ItemName,ENVASE PET 20 LT AZUL SIN ASA AGUA SPA 58,1
ItemName,ENVASE PET 500 CC CRISTAL ESPECIES EXOTICAS SALSA BBQ 1816,1
ItemName,ENVASE PET 400 CC CRISTAL DANEC ERWES,1
ItemName,ENVASE PET 900 CC CRISTAL DANEC ERWES,1
ItemName,ENVASE PET 1 LT CRISTAL DANEC ERWES,1
ItemName,ENVASE PET 330 CC CRISTAL MIEL SCHULLO 1816,1
ItemName,ENVASE PET 490 CC CRISTAL MIEL SCHULLO 1816,1
ItemName,ENVASE PET 1.25 LT CRISTAL RENCEL 1816,1
ItemName,ENVASE PET 190 GR NEGRO GEL EGO 75,1
ItemName,ENVASE PET 750 CC CRISTAL DANEC ERWES,1
ItemName,ENVASE PET 90 GR NEGRO GEL EGO 55,1
ItemName,ENVASE PET 2.5 LT CRISTAL ECOPACIFIC 48,1
ItemName,ENVASE PET 190 GR AZUL GEL EGO 75,1
ItemName,ENVASE PET 90 GR ZUL GEL EGO 55,1
ItemName,ENVASE PET 300 GR CRISTAL MIEL OSITO TERRAFERTIL 38,1
ItemName,ENVASE PET 450 CC. CRISTAL CUADRADO  ECOPACIFIC 1881,1
ItemName,ENVASE PET 330 GR CRISTAL MIEL PANAL TERRAFERTIL 1816,1
ItemName,ENVASE PET 250 CC CRISTAL VINAGRE TERRAFERTIL 1816,1
ItemName,ENVASE PET 500 CC. CRISTAL VINAGRE TERRAFERTIL,1
ItemName,ENVASE PET 1 LT CRISTAL VINAGRE TERRAFERTIL 1816,1
ItemName,ENVASE PET 750 CC CRISTAL SANSON DANEC 1816,1
ItemName,ENVASE PET 500 CC CRISTAL ECO 2622,1
ItemName,ENVASE PET 355 CC CRISTAL ECOPACIFIC 1881,1
ItemName,ENVASE PET 2 LT CRISTAL ECOPACIFIC 1881,1
ItemName,ENVASE PET 400 ML CRISTAL JABON LIQUIDO DANEC 1881,1
ItemName,ENVASE PET 1 LT CRISTAL ECOPACIFIC 1881,1
ItemName,ENVASE PET 200 CC CRISTAL ECOPACIFIC 1881,1
ItemName,ENVASE PET 500 CC AZUL AQUAPLUS 1881,1
ItemName,ENVASE PET 500 CC AZUL SPLENDOR 1881,1
ItemName,ENVASE PET 500 CC CRISTAL VINAGRE TERRAFERTIL 1881,1
ItemName,ENVASE PET 400 CC CRISTAL ECO 2622,1
ItemName,ENVASE PET 20 LT.  AMARILLO DANEC 58,1
ItemName,ENVASE PET 200 CC CRISTAL DANEC ERWES,1
ItemName,ENVASE PET 355 CC CRISTAL CUADRADO ECOPACIFIC 1881,1
ItemName,ENVASE PET 2 LT CRISTAL VINAGRE TERRAFERTIL 1881,1
ItemName,ENVASE PET 1.75 LT  CRISTAL ECOPACIFIC,1
ItemName,ENVASE PET 300 CC CRISTAL SAN FELIPE  1881,1
ItemName,ENVASE PET 20 LT AZUL SIN ASA ROSCA 58,1
ItemName,ENVASE PET 600 CC CRISTAL 27,1
ItemName,ENVASE PET 500 GR NEGRO GEL EGO,1
ItemName,ENVASE PET 4 LT. CRISTAL CUELLO 1881,1
ItemName,ENVASE PET 500 CC  CRISTAL AQUAPLUS 1881,1
ItemName,ENVASE PET 1 LT CRISTAL AQUANOX,1
ItemName,ENVASE PET 3 LT CRISTAL 1881,1
ItemName,ENVASE PET 500 CC CRISTAL 1881,1
ItemName,ENVASE PET 10 LT CRISTAL 48mm,1
ItemName,ENVASE PET 10 LT CRISTAL RESGASA 48,1
ItemName,ENVASE PET 1 LT CRISTAL TROFEO 1881,1
ItemName,ENVASE PET 1.5 LT CRISTAL 1881,1
ItemName,ENVASE PET 1 LT CRISTAL CUADRADO 1881,1
ItemName,ENVASE PET 500 CC CRISTAL VIVANT 1881,1
ItemName,ENVASE PET 6 LT CRISTAL RESGASA 48,1
ItemName,ENVASE PET 500 CC AZUL ECO 2622,1
ItemName,ENVASE PET 500 CC CRISTAL 1816,1
ItemName,ENVASE PET 300 CC CRISTAL 1881,1
ItemName,ENVASE PET 500 CC AZUL 1881,1
ItemName,ENVASE PET 300 CC CRISTAL ECO 2622,1
ItemName,ENVASE PET 200 CC CRISTAL AJI ILE 1881,1
ItemName,ENVASE PET 500 CC CRISTAL 27,1
ItemName,ENVASE PET 350 CC CRISTAL 1881,1
ItemName,ENVASE PET 2 LT CRISTAL CUADRADO 1881,1
ItemName,ENVASE PET 500 CC CRISTAL 22.5gr 18.81,1
ItemName,ENVASE PET 500 CC ECO CRISTAL CUELLO 1881,1
ItemName,ENVASE PET 300 CC CRISTAL 22.5gr 18.81,1
ItemName,ENVASE PET 400 CC CRISTAL 27,1
ItemName,ENVASE PET 600CC AZUL  27,1
ItemName,ENVASE PET 35 ML CRISTAL CUELLO  1881,1
ItemName,ENVASE PET 500 CC CRISTAL CUELLO GANZO 1881,1
ItemName,ENVASE PET 1.5 LT CRISTAL CUELLO GANZO 1881,1
ItemName,ENVASE PET 1.5 LT CRISTAL FONTINA 1881,1
ItemName,ENVASE PET 20 LT 500 GR AZUL SIN ASA SIN LOGO 55,1
ItemName,ENVASE PET 500 CC PETALOIDE SAN FELIPE 1816,1
ItemName,ENVASE PET 1.5 LT PETALOIDE SAN FELIPE 1816,1
ItemName,ENVASE PET 1.5 LT PETALOIDE FONTINA 1816,1
ItemName,ENVASE PET 500 CC CRISTAL ECO 27,1
ItemName,ENVASE PET 12 LT CRISTAL 48,1
ItemName,ENVASE PET 600 CC CRISTAL ECO 2622,1
ItemName,ENVASE PET 250cc CRISTAL ECO 26.22,1
ItemName,ENVASE PET 360cc CRISTAL ECO 26.22,1
ItemName,ENVASE PET 360 CC CRISTAL 1881,1
ItemName,ENVASE PET 2 LT CRISTAL TROFEO 1881,1
ItemName,ENVASE PET 330 CC CRISTAL 1881,1
ItemName,ENVASE PET  600 GR AZUL SIN ASA SIN LOGO 55,1
ItemName,ENVASE PET 600 CC CRISTAL 1881,1
ItemName,ENVASE PET 1.8 LT CRISTAL VIVI 1816,1
ItemName,ENVASE PET 600 GR  AZUL SIN ASA SPLENDOR 58,1
ItemName,ENVASE PET 350 CC CRISTAL TE 38,1
ItemName,ENVASE PET 1  LT CRISTAL RENCEL 1816,1
ItemName,ENVASE PET 400 ML ESPECIES EXOTICAS CUELLO 38,1
ItemName,ENVASE PET 500 CC EVEREST AZUL CUELLO 27,1
ItemName,ENVASE PET 500 CC EVEREST CRISTAL  CUELLO 27,1
ItemName,ENVASE PET 500 CC AZUL LAS ROCAS CUELLO 1881,1
ItemName,ENVASE PET 500 CC CRISTAL CUELLO  38,1
ItemName,ENVASE PET 500 CC CRISTAL 32 GR. HOT FILL 38,1
ItemName,ENVASE PET 250 CC AZUL SPLENDOR 1881,1
ItemName,ENVASE PET 550 CC LIMONADA IMPERIAL VERDE GENERICO,1
ItemName,ENVASE PET 2 LT CRISTAL  PETALOIDE CUELLO 1881,1
ItemName,ENVASE PET 550 CC  IMPERIAL VERDE TURQUEZA,1
ItemName,ENVASE PET 550 CC  IMPERIAL ROSADO,1
ItemName,ENVASE PET 550 CC  IMPERIAL NARANJA,1
ItemName,ENVASE PET 1500 CC  IMPERIAL NARANJA,1
ItemName,ENVASE PET 1500 CC  IMPERIAL ROSADO,1
ItemName,ENVASE PET 1500 CC  IMPERIAL VERDE TURQUESA,1
ItemName,ENVASE PET 330 CC VERDE VIDALOE,1
ItemName,ENVASE PET 20 LT AZUL SIN ASA LA MANA 58,1
ItemName,ENVASE PET 1500 CC  IMPERIAL VERDE GENERICO,1
ItemName,ENVASE PET 3 LT VERDE 1881,1
ItemName,ENVASE PET 2  LT PETALOIDE  VERDE 1881,1
ItemName,ENVASE PET 260 CC VERDE GENERICO 1881,1
ItemName,ENVASE PET 260 CC CRISTAL 1881,1
ItemName,ENVASE PET 1400 CC CRISTAL 1881,1
ItemName,ENVASE PET 1400 CC VERDE GENERICO  1881,1
ItemName,ENVASE PET 400 CC VERDE GENERICO  1881,1
ItemName,ENVASE PET 400 CC CRISTAL REDONDO  1881,1
ItemName,ENVASE PET 3 LT TURQUEZA 1881,1
ItemName,ENVASE PET 525 CC CRISTAL 1881,1
ItemName,ENVASE PET 525 CC VERDE 1881,1
ItemName,ENVASE PET 5 LT AZUL SPLENDOR 48,1
ItemName,ENVASE PET 1.5 LT GRIS CUELLO 1881,1
ItemName,ENVASE PET 300 CC CRISTAL ORIENTAL 1881,1
ItemName,ENVASE PET 500 CC CRISTAL EVEREST ECO 2622,1
ItemName,ENVASE PET 35 ML  SHOT RECICLADO,1
ItemName,ENVASE PET 5 LT CRISTAL LA ORIENTAL,1
ItemName,ENVASE PET 7  LT CRISTAL LA ORIENTAL,1
ItemName,ENVASE PET 500 CC CELESTE MANANTIAL SIN GAS,1
ItemName,ENVASE PET 500 CC AZUL MANANTIAL  CON GAS,1
ItemName,ENVASE PET BOTELLON AZUL AGUA LOS RIOS,1
ItemName,ENVASE PET 250 CC CRISTAL 1881,1
ItemName,ENVASE PET 100 ML CRISTAL CUELLO 15 MM,1
ItemName,ENVASE PET 400 CC CRISTAL GENERICO CUELLO 2622,1
ItemName,ENVASE PET 3 LT CRISTAL CUELLO 48,1
ItemName,ENVASE PET 150 ML CRISTAL CUELLO 15 MM,1
ItemName,ENVASE PET 550 CC  IMPERIAL BLANCO,1
ItemName,ENVASE PET 1.5 LT  BLANCO 1881,1
ItemName,ENVASE PET 2 LT CRISTAL GENERICO  CUELLO 1881,1
ItemName,ENVASE PET 900 CC CRISTAL CUADRADO ECOPACIFIC 1881,1
ItemName,ENVASE PET 500 CC  AZUL  LA ORIENTAL 1881,1
ItemName,ENVASE PET 1 LT   AZUL  LA ORIENTAL 1881,1
ItemName,"ENVASE PET 200 CC 16,5gr CRISTAL AJI 1881",1
ItemName,ENVASE PET 400 CC CRISTAL 1881,1
ItemName,ENVASE PET 10 LT AZUL SPLENDOR 48mm,1
ItemName,ENVASE PET 1500 CC  IMPERIAL BLANCO,1
ItemName,ENVASE PET 500 CC CRISTAL VIVI DANEC,1
ItemName,ENVASE PET 500 CC  CRISTAL  LA ORIENTAL 1881,1
ItemName,ENVASE PET 330 CC  IMPERIAL VERDE GENERICO,1
ItemName,ENVASE PET 330 CC  IMPERIAL NARANJA,1
ItemName,ENVASE PET 330 CC  IMPERIAL ROSADO,1
ItemName,ENVASE PET 500 CC CRISTAL PURISSIMA 2622,1
ItemName,ENVASE PET 750 CC AZUL SPLENDOR 1881,1
ItemName,"ENVASE PET 500 CC AZUL SPLENDOR 22,5 GR  1881",1
ItemName,ENVASE PET 1 LT  CRISTAL LA ORIENTAL 1881,1
ItemName,ENVASE PET 1 LT CRISTAL DIAMANTE 1881,1
ItemName,ENVASE PET 600 CC CRISTAL DIAMANTE 1881,1
ItemName,ENVASE PET 600 CC CRISTAL DIAMANTE 2622,1
ItemName,ENVASE PET 5 LT CRISTAL CUADRADO 48 MM,1
ItemName,ENVASE PET 2  LT PETALOIDE  AZUL 1881,1
ItemName,ENVASE PET 1 LT VIVI CORAZON,1
ItemName,ENVASE PET 500 CC CRISTAL ECO 2622 - B,1
ItemName,ENVASE PET 700 CC  VIVI CORAZON,1
ItemName,ENVASE PET BOTELLON  AZUL  SAN FELIPE,1
ItemName,ENVASE PET  500 ML CRISTAL LULE,1
ItemName,ENVASE PET 350 CC  VIVI CORAZON,1
ItemName,ENVASE PET BOTELLON  AZUL  TESALIA,1
ItemName,ENVASE PET 2 LT VIVI CORAZON 1881,1
ItemName,ENVASE PET 500 CC AZUL ALPINA 1881,1
ItemName,ENVASE PET 296 CC CRISTAL R 38 - 32 gr,1
ItemName,ENVASE PET 350 CC CRISTAL R 38 - 32 gr,1
ItemName,ENVASE PET 350 CC CRISTAL R 38 - 28 GR,1
ItemName,ENVASE PET 1 LT CRISTAL DESINFECTANTE RECTANGULAR 1816,1
ItemName,ENVASE PET 550 CC  IMPERIAL AMBAR,1
ItemName,ENVASE PET 550 CC  IMPERIAL ROJO,1
ItemName,ENVASE PET 500 CC CRISTAL R 38 - 28 GR,1
ItemName,ENVASE PET 5 LT CRISTAL 48 GYE,1
ItemName,ENVASE PET 500 CC CRISTAL ECO 2622 GYE,1
ItemName,ENVASE PET 400 CC CRISTAL ECO 2622 GYE,1
ItemName,ENVASE PET 6 LT CRISTAL 48 GYE,1
ItemName,ENVASE PET 5 LT AZUL LA ORIENTAL,1
ItemName,ENVASE PET 500 CC CRISTAL SANSON DESINFECTANTE DANEC 1881,1
ItemName,ENVASE PET 250 CC CRISTAL SANSON DESINFECTANTE DANEC 1881,1
ItemName,ENVASE PET 500 CC CRISTAL REDONDO  CUELLO 38 MM 28 GR,1
ItemName,ENVASE PET 1 LT CRISTAL DIAMANTE 1881 UIO,1
ItemName,ENVASE PET 1 LT AZUL DIAMANTE 1881 UIO,1
ItemName,ENVASE PET 450 GR CRISTAL MIEL TERRAFERTIL 1881,1
ItemName,ENVASE PET 400 CC CRISTAL 1881 15 g,1
ItemName,ENVASE PET 300 CC CRISTAL SAN FELIPE  1881 15 G,1
ItemName,ENVASE PET 500 CC CRISTAL LISO 15 GR 1881,1
ItemName,ENVASE PET 500 CC CRISTAL 15GR 1881,1
ItemName,ENVASE PET 500 CC AZUL 500CC LA ORIENTAL GYE,1
ItemName,ENVASE PET 1500 CC  IMPERIAL ROSADO GYE,1
ItemName,ENVASE PET 1500 CC  IMPERIAL VERDE GENERICO GYE,1
ItemName,ENVASE PET 1500 CC  IMPERIAL VERDE TURQUESA GYE,1
ItemName,ENVASE PET 1500 CC  IMPERIAL NARANJA GYE,1
ItemName,ENVASE PET 550 CC  IMPERIAL ROJO GYE,1
ItemName,ENVASE PET 550 CC  IMPERIAL ROSADO GYE,1
ItemName,ENVASE PET 550 CC  IMPERIAL NARANJA GYE,1
ItemName,ENVASE PET 550 CC LIMONADA IMPERIAL VERDE GENERICO GYE,1
ItemName,ENVASE PET 500 CC  CRISTAL  LA ORIENTAL 1881 GYE,1
ItemName,ENVASE PET 360cc CRISTAL ECO 2622 UIO,1
ItemName,ENVASE PET 1 LT   AZUL  LA ORIENTAL 1881 GYE,1
ItemName,ENVASE PET 1 LT  CRISTAL LA ORIENTAL 1881 GYE,1
ItemName,ENVASE PET 330 GR CRISTAL MIEL PANAL TERRAFERTIL 1881,1
ItemName,ENVASE PET 1.8 LT CRISTAL DANEC 1881,1
ItemName,ENVASE PET 200 CC CRISTAL DANEC ERWES N,1
ItemName,ENVASE PET 330 CC CRISTAL MIEL SCHULLO 1881,1
ItemName,ENVASE PET 490 CC CRISTAL MIEL SCHULLO 1881,1
ItemName,ENVASE PET 296 CC CRISTAL 38 - 32 gr,1
ItemName,ENVASE PET 500 CC CRISTAL CUELLO GANZO 1881 22.5gr.,1
ItemName,ENVASE PET 330 CC IMPERIAL ROSADO 15 GR.,1
ItemName,ENVASE PET 330 CC IMPERIAL NARANJA 15 GR.,1
ItemName,ENVASE PET 330 CC IMPERIAL VERDE GENERICO 15 GR.,1
ItemName,ENVASE PET 2 LT CRISTAL  PETALOIDE CUELLO 1881 35 GR.,1
ItemName,ENVASE PET 1.5 LT CRISTAL 1881 V,1
ItemName,ENVASE PET 550 CC  IMPERIAL VERDE TURQUEZA (S-SOP),1
ItemName,ENVASE PET 260 ML CRISTAL 1881 FRUIT,1
ItemName,ENVASE PET 1 LT CRISTAL FRUIT,1
ItemName,ENVASE PET 3 LT CRISTAL 1881 GYE,1
ItemName,ENVASE PET 500 CC CRISTAL 1881 15gr,1
ItemName,ENVASE PET 5 LT CRISTAL 48 84gr,1
ItemName,ENVASE PET 600 CC AZUL SOLDEVITA 1881,1
ItemName,ENVASE PET 250 CC. CRISTAL COOKING 38,1
ItemName,ENVASE PET 400 CC CRISTAL DANEC ERWES 15 g.,1
ItemName,ENVASE PET 600 ML CRISTAL  LIMPIADOR CUELLO 1881,1
ItemName,ENVASE PET 400 CC CRISTAL ECO 2622 LISO,1
ItemName,ENVASE PET 1 LT CRISTAL DESINFECTANTE 1881,1
ItemName,ENVASE PET 5 LT CRISTAL VOLCANIC 84 g ACABADO 48 mm,1
ItemName,ENVASE PET 1 LT CRISTAL VOLCANIC 22.5 g ACABADO 1881,1
ItemName,ENVASE PET 500 CC  AZUL  LA ORIENTAL 1881 V,1
ItemName,ENVASE PET 500 CC CRISTAL GENERICO 1881 22.5gr.,1
ItemName,ENVASE PET 100 ML CRISTAL MARCSEAL CUELLO 15 MM,1
ItemName,ENVASE PET 1.5 LT PLATEADO FUSSION 1881,1
ItemName,ENVASE PET 600 CC AZUL SOLDEVITA 1881 22.5g,1
ItemName,ENVASE PET 400 CC CRISTAL ECO 1881 LISO,1
ItemName,ENVASE PET 380 CC AMARILLO MOSTAZA SALSA LOS ANDES NACIONAL,1
ItemName,ENVASE PET 380 CC ROJO SALSA LOS ANDES NACIONAL,1
ItemName,ENVASE PET 380 CC HABANO SALSA LOS ANDES NACIONAL,1
ItemName,ENVASE PET 358 CC AMARILLO MOSTAZA SALSA LOS ANDES EXPORTACION,1
ItemName,ENVASE PET 358 CC ROJO SALSA LOS ANDES EXPORTACION,1
ItemName,ENVASE PET 358 CC HABANO SALSA LOS ANDES EXPORTACION,1
ItemName,ENVASE PET 365 CC CRISTAL SALSA GENERICO,1
ItemName,ENVASE PET 600 CC CRISTAL DIAMANTE 1881 UIO,1
ItemName,ENVASE PET 600 CC AZUL SOLDEVITA 1881 UIO 22.5 G,1
ItemName,ENVASE PET 600 CC AZUL SOLDEVITA 1881 UIO 16.5 G,1
ItemName,ENVASE PET 365 CC HABANO SALSA GENERICO,1
ItemName,ENVASE PC 20 LT AZUL CON ASA BONATURA,1
ItemName,ENVASE PC 20 LT AZUL CON ASA SAN FELIPE,1
ItemName,ENVASE PC 20 LT AZUL CON ASA SIN LOGO,1
ItemName,ENVASE PC BOTELLON AZUL CON ASA TESALIA,1
ItemName,ENVASE PC BOTELLON AZUL SIN ASA PURE WATER,1
ItemName,ENVASE PC BOTELLON AZUL CON ASA PURE WATER,1
ItemName,FAJILLA PEBD  8.6 CM X 11.1 CM X 50 MC  BLANCA AVENA LA POLACA 500 CC,1
ItemName,FAJILLA PEBD  18.2 CM X 16 CM X 50 MC TRANSPARENTE SAN FELIPE 3 LT,1
ItemName,FAJILLA PEBD  13.4 CM X 11.9 CM X 50 MC TRANSPARENTE SAN FELIPE 1.5 LT SIN GAS,1
ItemName,FAJILLA PEBD  9.9 CM X 5.3 CM X 50 MC TRANSPARENTE SAN FELIPE 500 CC SIN GAS,1
